formula_id,benchmark,structure_type,expression,variables,sample_low,sample_high
nguyen_poly,Nguyen,polynomial,x1**3 + x1**2 + x1,x1,-2.0,2.0
nguyen_rational,Nguyen,rational,x1/(1 + x2**2),x1|x2,-2.0,2.0
feynman_trig,Feynman,trigonometric,sin(x1) + 0.5*cos(x2),x1|x2,-2.0,2.0
feynman_interaction,Feynman,interaction,x1*x2 + 0.25*x3**2,x1|x2|x3,-2.0,2.0
srsd_exp_log,SRSD,exp_log,exp(0.3*x1) + log(abs(x2) + 2.0),x1|x2,-2.0,2.0
srsd_nested,SRSD,function_composition,sin(x1*x2)/(1 + x3**2),x1|x2|x3,-2.0,2.0
realistic_decay,Realistic,exp_trig,exp(-0.25*abs(x1))*sin(x2) + 0.15*x3,x1|x2|x3,-2.0,2.0
realistic_sensor,Realistic,mixed_smooth,log(abs(x1) + 2.0) + 0.35*x2**2 - 0.2*cos(x3),x1|x2|x3,-2.0,2.0
poly_quad_shift_a,Nguyen,polynomial,x1**2 + 0.5*x2 - 0.25,x1|x2,-2.0,2.0
poly_quad_shift_b,Nguyen,polynomial,x2**2 + 0.5*x3 - 0.25,x2|x3,-2.0,2.0
poly_quad_shift_c,Nguyen,polynomial,x3**2 + 0.5*x3 - 0.25,x3,-2.0,2.0
poly_cubic_mix_a,Nguyen,polynomial,0.5*x1**3 - x2**2 + x1*x2,x1|x2,-2.0,2.0
poly_cubic_mix_b,Nguyen,polynomial,0.5*x2**3 - x3**2 + x2*x3,x2|x3,-2.0,2.0
poly_cubic_mix_c,Nguyen,polynomial,0.5*x3**3 - x3**2 + x3*x3,x3,-2.0,2.0
rational_offset_a,Nguyen,rational,(x1 + x2)/(1 + abs(x1)),x1|x2,-2.0,2.0
rational_offset_b,Nguyen,rational,(x2 + x3)/(1 + abs(x2)),x2|x3,-2.0,2.0
rational_offset_c,Nguyen,rational,(x3 + x3)/(1 + abs(x3)),x3,-2.0,2.0
rational_quad_a,Nguyen,rational,(x1**2 + 0.25*x2)/(1 + x3**2),x1|x2|x3,-2.0,2.0
rational_quad_b,Nguyen,rational,(x2**2 + 0.25*x3)/(1 + x2**2),x2|x3,-2.0,2.0
rational_quad_c,Nguyen,rational,(x3**2 + 0.25*x3)/(1 + x3**2),x3,-2.0,2.0
