case_index,case_id,formula_id,benchmark,case_name,base_case_name,structure_type,expression,variables,true_variables,noise_level,noise_kind,repeat_seed,n_train,n_val,n_test,train_noise_sigma,val_noise_sigma,train_noisy_path,val_noisy_path,test_clean_path,train_clean_path,val_clean_path,split_dir
1,nguyen_poly__noise_0__seed_0,nguyen_poly,Nguyen,nguyen_poly_noise_0,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.0,relative_gaussian_y_train_val,0,512,256,1024,0.0,0.0,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_0/train_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_0/val_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_0/test_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_0/train_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_0/val_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_0
2,nguyen_poly__noise_0__seed_1,nguyen_poly,Nguyen,nguyen_poly_noise_0,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.0,relative_gaussian_y_train_val,1,512,256,1024,0.0,0.0,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_1/train_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_1/val_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_1/test_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_1/train_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_1/val_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_1
3,nguyen_poly__noise_0__seed_2,nguyen_poly,Nguyen,nguyen_poly_noise_0,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.0,relative_gaussian_y_train_val,2,512,256,1024,0.0,0.0,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_2/train_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_2/val_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_2/test_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_2/train_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_2/val_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_2
4,nguyen_poly__noise_0__seed_3,nguyen_poly,Nguyen,nguyen_poly_noise_0,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.0,relative_gaussian_y_train_val,3,512,256,1024,0.0,0.0,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_3/train_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_3/val_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_3/test_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_3/train_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_3/val_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_3
5,nguyen_poly__noise_0__seed_4,nguyen_poly,Nguyen,nguyen_poly_noise_0,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.0,relative_gaussian_y_train_val,4,512,256,1024,0.0,0.0,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_4/train_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_4/val_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_4/test_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_4/train_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_4/val_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0__seed_4
6,nguyen_poly__noise_0.001__seed_0,nguyen_poly,Nguyen,nguyen_poly_noise_0.001,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.001,relative_gaussian_y_train_val,0,512,256,1024,0.004181681243110975,0.004321528474499688,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_0/train_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_0/val_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_0/test_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_0/train_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_0/val_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_0
7,nguyen_poly__noise_0.001__seed_1,nguyen_poly,Nguyen,nguyen_poly_noise_0.001,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.001,relative_gaussian_y_train_val,1,512,256,1024,0.004290920616030394,0.004346606810158224,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_1/train_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_1/val_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_1/test_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_1/train_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_1/val_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_1
8,nguyen_poly__noise_0.001__seed_2,nguyen_poly,Nguyen,nguyen_poly_noise_0.001,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.001,relative_gaussian_y_train_val,2,512,256,1024,0.004412999965517821,0.0040359984228990255,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_2/train_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_2/val_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_2/test_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_2/train_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_2/val_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_2
9,nguyen_poly__noise_0.001__seed_3,nguyen_poly,Nguyen,nguyen_poly_noise_0.001,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.001,relative_gaussian_y_train_val,3,512,256,1024,0.004321494970678349,0.004571497571587862,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_3/train_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_3/val_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_3/test_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_3/train_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_3/val_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_3
10,nguyen_poly__noise_0.001__seed_4,nguyen_poly,Nguyen,nguyen_poly_noise_0.001,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.001,relative_gaussian_y_train_val,4,512,256,1024,0.004175821402466149,0.00433892593384995,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_4/train_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_4/val_noisy.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_4/test_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_4/train_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_4/val_clean.csv,data/noise_robustness_metric_v2/splits/nguyen_poly__noise_0.001__seed_4
