case_index,case_id,formula_id,benchmark,case_name,base_case_name,structure_type,expression,variables,true_variables,noise_level,noise_kind,repeat_seed,n_train,n_val,n_test,train_noise_sigma,val_noise_sigma,train_noisy_path,val_noisy_path,test_clean_path,train_clean_path,val_clean_path,split_dir
1,nguyen_poly__noise_0__seed_0,nguyen_poly,Nguyen,nguyen_poly_noise_0,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.0,relative_gaussian_y_train_val,0,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_0
2,nguyen_poly__noise_0__seed_1,nguyen_poly,Nguyen,nguyen_poly_noise_0,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.0,relative_gaussian_y_train_val,1,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_1/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_1/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_1/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_1/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_1/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_1
3,nguyen_poly__noise_0__seed_2,nguyen_poly,Nguyen,nguyen_poly_noise_0,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.0,relative_gaussian_y_train_val,2,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_2/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_2/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_2/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_2/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_2/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_2
4,nguyen_poly__noise_0.001__seed_0,nguyen_poly,Nguyen,nguyen_poly_noise_0.001,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.001,relative_gaussian_y_train_val,0,512,256,1024,0.0043881838562382,0.003890276013723,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_0
5,nguyen_poly__noise_0.001__seed_1,nguyen_poly,Nguyen,nguyen_poly_noise_0.001,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.001,relative_gaussian_y_train_val,1,512,256,1024,0.0041202233357805,0.0041102448765539,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_1/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_1/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_1/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_1/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_1/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_1
6,nguyen_poly__noise_0.001__seed_2,nguyen_poly,Nguyen,nguyen_poly_noise_0.001,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.001,relative_gaussian_y_train_val,2,512,256,1024,0.0042746160070689,0.0045438825156846,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_2/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_2/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_2/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_2/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_2/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_2
7,nguyen_poly__noise_0.01__seed_0,nguyen_poly,Nguyen,nguyen_poly_noise_0.01,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.01,relative_gaussian_y_train_val,0,512,256,1024,0.0439865521087985,0.0438529264379202,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_0
8,nguyen_poly__noise_0.01__seed_1,nguyen_poly,Nguyen,nguyen_poly_noise_0.01,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.01,relative_gaussian_y_train_val,1,512,256,1024,0.0406228986578621,0.0435922025492975,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_1/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_1/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_1/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_1/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_1/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_1
9,nguyen_poly__noise_0.01__seed_2,nguyen_poly,Nguyen,nguyen_poly_noise_0.01,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.01,relative_gaussian_y_train_val,2,512,256,1024,0.0447638455113737,0.0436288360597373,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_2/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_2/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_2/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_2/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_2/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_2
16,nguyen_rational__noise_0__seed_0,nguyen_rational,Nguyen,nguyen_rational_noise_0,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.0,relative_gaussian_y_train_val,0,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_0
17,nguyen_rational__noise_0__seed_1,nguyen_rational,Nguyen,nguyen_rational_noise_0,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.0,relative_gaussian_y_train_val,1,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_1/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_1/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_1/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_1/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_1/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_1
18,nguyen_rational__noise_0__seed_2,nguyen_rational,Nguyen,nguyen_rational_noise_0,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.0,relative_gaussian_y_train_val,2,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_2/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_2/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_2/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_2/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_2/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_2
19,nguyen_rational__noise_0.001__seed_0,nguyen_rational,Nguyen,nguyen_rational_noise_0.001,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.001,relative_gaussian_y_train_val,0,512,256,1024,0.0007208801582065,0.00069285290296,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_0
20,nguyen_rational__noise_0.001__seed_1,nguyen_rational,Nguyen,nguyen_rational_noise_0.001,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.001,relative_gaussian_y_train_val,1,512,256,1024,0.0007432023440972,0.0006914300862505,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_1/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_1/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_1/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_1/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_1/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_1
21,nguyen_rational__noise_0.001__seed_2,nguyen_rational,Nguyen,nguyen_rational_noise_0.001,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.001,relative_gaussian_y_train_val,2,512,256,1024,0.0007052615164446,0.0006805357082792,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_2/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_2/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_2/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_2/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_2/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_2
22,nguyen_rational__noise_0.01__seed_0,nguyen_rational,Nguyen,nguyen_rational_noise_0.01,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.01,relative_gaussian_y_train_val,0,512,256,1024,0.0068534952489262,0.0069310935336666,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_0
23,nguyen_rational__noise_0.01__seed_1,nguyen_rational,Nguyen,nguyen_rational_noise_0.01,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.01,relative_gaussian_y_train_val,1,512,256,1024,0.0071374461884288,0.0078048676329999,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_1/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_1/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_1/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_1/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_1/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_1
24,nguyen_rational__noise_0.01__seed_2,nguyen_rational,Nguyen,nguyen_rational_noise_0.01,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.01,relative_gaussian_y_train_val,2,512,256,1024,0.0074609547414849,0.0069596118074097,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_2/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_2/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_2/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_2/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_2/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.01__seed_2
31,feynman_trig__noise_0__seed_0,feynman_trig,Feynman,feynman_trig_noise_0,feynman_trig,trigonometric,sin(x1) + 0.5*cos(x2),x1|x2,x1|x2,0.0,relative_gaussian_y_train_val,0,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/feynman_trig__noise_0__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/feynman_trig__noise_0__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/feynman_trig__noise_0__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/feynman_trig__noise_0__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/feynman_trig__noise_0__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/feynman_trig__noise_0__seed_0
