case_index,case_id,formula_id,benchmark,case_name,base_case_name,structure_type,expression,variables,true_variables,noise_level,noise_kind,repeat_seed,n_train,n_val,n_test,train_noise_sigma,val_noise_sigma,train_noisy_path,val_noisy_path,test_clean_path,train_clean_path,val_clean_path,split_dir
1,nguyen_poly__noise_0__seed_0,nguyen_poly,Nguyen,nguyen_poly_noise_0,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.0,relative_gaussian_y_train_val,0,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_0
2,nguyen_poly__noise_0__seed_1,nguyen_poly,Nguyen,nguyen_poly_noise_0,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.0,relative_gaussian_y_train_val,1,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_1/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_1/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_1/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_1/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_1/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_1
3,nguyen_poly__noise_0__seed_2,nguyen_poly,Nguyen,nguyen_poly_noise_0,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.0,relative_gaussian_y_train_val,2,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_2/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_2/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_2/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_2/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_2/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0__seed_2
4,nguyen_poly__noise_0.001__seed_0,nguyen_poly,Nguyen,nguyen_poly_noise_0.001,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.001,relative_gaussian_y_train_val,0,512,256,1024,0.004388183856238205,0.003890276013723081,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_0
5,nguyen_poly__noise_0.001__seed_1,nguyen_poly,Nguyen,nguyen_poly_noise_0.001,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.001,relative_gaussian_y_train_val,1,512,256,1024,0.004120223335780585,0.004110244876553964,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_1/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_1/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_1/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_1/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_1/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_1
6,nguyen_poly__noise_0.001__seed_2,nguyen_poly,Nguyen,nguyen_poly_noise_0.001,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.001,relative_gaussian_y_train_val,2,512,256,1024,0.004274616007068978,0.004543882515684652,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_2/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_2/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_2/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_2/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_2/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.001__seed_2
7,nguyen_poly__noise_0.01__seed_0,nguyen_poly,Nguyen,nguyen_poly_noise_0.01,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.01,relative_gaussian_y_train_val,0,512,256,1024,0.04398655210879856,0.043852926437920214,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_0
8,nguyen_poly__noise_0.01__seed_1,nguyen_poly,Nguyen,nguyen_poly_noise_0.01,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.01,relative_gaussian_y_train_val,1,512,256,1024,0.040622898657862144,0.04359220254929759,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_1/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_1/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_1/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_1/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_1/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_1
9,nguyen_poly__noise_0.01__seed_2,nguyen_poly,Nguyen,nguyen_poly_noise_0.01,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.01,relative_gaussian_y_train_val,2,512,256,1024,0.04476384551137379,0.043628836059737365,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_2/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_2/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_2/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_2/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_2/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.01__seed_2
10,nguyen_poly__noise_0.05__seed_0,nguyen_poly,Nguyen,nguyen_poly_noise_0.05,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.05,relative_gaussian_y_train_val,0,512,256,1024,0.22130872619965125,0.22384941214174447,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_0
11,nguyen_poly__noise_0.05__seed_1,nguyen_poly,Nguyen,nguyen_poly_noise_0.05,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.05,relative_gaussian_y_train_val,1,512,256,1024,0.21819473772449627,0.2207853267992447,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_1/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_1/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_1/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_1/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_1/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_1
12,nguyen_poly__noise_0.05__seed_2,nguyen_poly,Nguyen,nguyen_poly_noise_0.05,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.05,relative_gaussian_y_train_val,2,512,256,1024,0.20877746561768232,0.2100581900029136,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_2/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_2/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_2/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_2/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_2/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.05__seed_2
13,nguyen_poly__noise_0.1__seed_0,nguyen_poly,Nguyen,nguyen_poly_noise_0.1,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.1,relative_gaussian_y_train_val,0,512,256,1024,0.4595287007030566,0.4014850917348276,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_0
14,nguyen_poly__noise_0.1__seed_1,nguyen_poly,Nguyen,nguyen_poly_noise_0.1,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.1,relative_gaussian_y_train_val,1,512,256,1024,0.4107282950228462,0.418627164725978,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_1/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_1/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_1/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_1/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_1/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_1
15,nguyen_poly__noise_0.1__seed_2,nguyen_poly,Nguyen,nguyen_poly_noise_0.1,nguyen_poly,polynomial,x1**3 + x1**2 + x1,x1,x1,0.1,relative_gaussian_y_train_val,2,512,256,1024,0.42167385883836517,0.4262558445064776,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_2/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_2/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_2/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_2/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_2/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_poly__noise_0.1__seed_2
16,nguyen_rational__noise_0__seed_0,nguyen_rational,Nguyen,nguyen_rational_noise_0,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.0,relative_gaussian_y_train_val,0,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_0
17,nguyen_rational__noise_0__seed_1,nguyen_rational,Nguyen,nguyen_rational_noise_0,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.0,relative_gaussian_y_train_val,1,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_1/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_1/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_1/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_1/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_1/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_1
18,nguyen_rational__noise_0__seed_2,nguyen_rational,Nguyen,nguyen_rational_noise_0,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.0,relative_gaussian_y_train_val,2,512,256,1024,0.0,0.0,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_2/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_2/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_2/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_2/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_2/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0__seed_2
19,nguyen_rational__noise_0.001__seed_0,nguyen_rational,Nguyen,nguyen_rational_noise_0.001,nguyen_rational,rational,x1/(1 + x2**2),x1|x2,x1|x2,0.001,relative_gaussian_y_train_val,0,512,256,1024,0.0007208801582065275,0.0006928529029600778,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_0/train_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_0/val_noisy.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_0/test_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_0/train_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_0/val_clean.csv,data/noise_robustness_v1_20/splits/nguyen_rational__noise_0.001__seed_0
