id,split,dimension,target_expression,data_csv,image
SmartGen-1_run_001,1d,1,-1.2*sin(x1),csv/1d/SmartGen-1/SmartGen-1_run_001.csv,images/1d/SmartGen-1/SmartGen-1_run_001.png
SmartGen-2_run_001,1d,1,3.0*x1,csv/1d/SmartGen-2/SmartGen-2_run_001.csv,images/1d/SmartGen-2/SmartGen-2_run_001.png
SmartGen-3_run_001,1d,1,1.1*exp(0.1*x1),csv/1d/SmartGen-3/SmartGen-3_run_001.csv,images/1d/SmartGen-3/SmartGen-3_run_001.png
SmartGen-4_run_001,1d,1,1.8*x1**2,csv/1d/SmartGen-4/SmartGen-4_run_001.csv,images/1d/SmartGen-4/SmartGen-4_run_001.png
SmartGen-5_run_001,1d,1,-1.2*cos(x1),csv/1d/SmartGen-5/SmartGen-5_run_001.csv,images/1d/SmartGen-5/SmartGen-5_run_001.png
SmartGen-6_run_001,1d,1,-2.5*x1**4,csv/1d/SmartGen-6/SmartGen-6_run_001.csv,images/1d/SmartGen-6/SmartGen-6_run_001.png
SmartGen-7_run_001,1d,1,-2.5*cos(x1),csv/1d/SmartGen-7/SmartGen-7_run_001.csv,images/1d/SmartGen-7/SmartGen-7_run_001.png
SmartGen-8_run_001,1d,1,-2.5*sin(x1),csv/1d/SmartGen-8/SmartGen-8_run_001.csv,images/1d/SmartGen-8/SmartGen-8_run_001.png
SmartGen-9_run_001,1d,1,-2.5*x1**3,csv/1d/SmartGen-9/SmartGen-9_run_001.csv,images/1d/SmartGen-9/SmartGen-9_run_001.png
SmartGen-10_run_001,1d,1,1.1*log(abs(x1)+1),csv/1d/SmartGen-10/SmartGen-10_run_001.csv,images/1d/SmartGen-10/SmartGen-10_run_001.png
SmartGen-11_run_001,1d,1,-1.2*log(abs(x1)+1),csv/1d/SmartGen-11/SmartGen-11_run_001.csv,images/1d/SmartGen-11/SmartGen-11_run_001.png
SmartGen-12_run_001,1d,1,1.8*x1**2,csv/1d/SmartGen-12/SmartGen-12_run_001.csv,images/1d/SmartGen-12/SmartGen-12_run_001.png
SmartGen-13_run_001,1d,1,2.5*x1**2,csv/1d/SmartGen-13/SmartGen-13_run_001.csv,images/1d/SmartGen-13/SmartGen-13_run_001.png
SmartGen-14_run_001,1d,1,-3.0*sqrt(abs(x1)),csv/1d/SmartGen-14/SmartGen-14_run_001.csv,images/1d/SmartGen-14/SmartGen-14_run_001.png
SmartGen-15_run_001,1d,1,-1.2*x1**4,csv/1d/SmartGen-15/SmartGen-15_run_001.csv,images/1d/SmartGen-15/SmartGen-15_run_001.png
SmartGen-16_run_001,1d,1,-1.2*x1**5,csv/1d/SmartGen-16/SmartGen-16_run_001.csv,images/1d/SmartGen-16/SmartGen-16_run_001.png
SmartGen-17_run_001,1d,1,-2.5*cos(x1),csv/1d/SmartGen-17/SmartGen-17_run_001.csv,images/1d/SmartGen-17/SmartGen-17_run_001.png
SmartGen-18_run_001,1d,1,3.0*exp(0.1*x1),csv/1d/SmartGen-18/SmartGen-18_run_001.csv,images/1d/SmartGen-18/SmartGen-18_run_001.png
SmartGen-19_run_001,1d,1,3.0*sin(x1),csv/1d/SmartGen-19/SmartGen-19_run_001.csv,images/1d/SmartGen-19/SmartGen-19_run_001.png
SmartGen-20_run_001,1d,1,-3.0*x1**5,csv/1d/SmartGen-20/SmartGen-20_run_001.csv,images/1d/SmartGen-20/SmartGen-20_run_001.png
SmartGen-21_run_001,1d,1,1.1*x1**5,csv/1d/SmartGen-21/SmartGen-21_run_001.csv,images/1d/SmartGen-21/SmartGen-21_run_001.png
SmartGen-22_run_001,1d,1,2.5*x1**2,csv/1d/SmartGen-22/SmartGen-22_run_001.csv,images/1d/SmartGen-22/SmartGen-22_run_001.png
SmartGen-23_run_001,1d,1,-1.2*x1**2,csv/1d/SmartGen-23/SmartGen-23_run_001.csv,images/1d/SmartGen-23/SmartGen-23_run_001.png
SmartGen-24_run_001,1d,1,2.5*log(x1+1),csv/1d/SmartGen-24/SmartGen-24_run_001.csv,images/1d/SmartGen-24/SmartGen-24_run_001.png
SmartGen-25_run_001,1d,1,3.0*x1**5,csv/1d/SmartGen-25/SmartGen-25_run_001.csv,images/1d/SmartGen-25/SmartGen-25_run_001.png
