case_name,formula_id,dimension,seed,proxy_strength,decoy_noise
balanced_001_feynman_trig_interaction_k2,feynman_trig_interaction_k2,12,50001,0.25,0.1
balanced_002_nguyen_rational_k2,nguyen_rational_k2,12,50002,0.25,0.1
balanced_003_livermore_exp_trig_k2,livermore_exp_trig_k2,12,50003,0.25,0.1
balanced_004_srsd_log_sqrt_k2,srsd_log_sqrt_k2,12,50004,0.25,0.1
balanced_005_feynman_sparse_interaction_k3,feynman_sparse_interaction_k3,16,50005,0.25,0.1
balanced_006_friedman_core_k3,friedman_core_k3,16,50006,0.25,0.1
balanced_007_srsd_exp_log_k3,srsd_exp_log_k3,16,50007,0.25,0.1
balanced_008_nguyen_trig_poly_k3,nguyen_trig_poly_k3,16,50008,0.25,0.1
balanced_009_feynman_rational_trig_k4,feynman_rational_trig_k4,20,50009,0.25,0.1
balanced_010_friedman2_safe_k4,friedman2_safe_k4,20,50010,0.25,0.1
balanced_011_srsd_energy_like_k4,srsd_energy_like_k4,20,50011,0.25,0.1
balanced_012_livermore_rational_interaction_k4,livermore_rational_interaction_k4,20,50012,0.25,0.1
balanced_013_feynman_trig_interaction_k2,feynman_trig_interaction_k2,16,50013,0.35,0.14
balanced_014_nguyen_rational_k2,nguyen_rational_k2,16,50014,0.35,0.14
balanced_015_livermore_exp_trig_k2,livermore_exp_trig_k2,16,50015,0.35,0.14
balanced_016_srsd_log_sqrt_k2,srsd_log_sqrt_k2,16,50016,0.35,0.14
balanced_017_feynman_sparse_interaction_k3,feynman_sparse_interaction_k3,20,50017,0.35,0.14
balanced_018_friedman_core_k3,friedman_core_k3,20,50018,0.35,0.14
balanced_019_srsd_exp_log_k3,srsd_exp_log_k3,20,50019,0.35,0.14
balanced_020_nguyen_trig_poly_k3,nguyen_trig_poly_k3,20,50020,0.35,0.14
balanced_021_feynman_rational_trig_k4,feynman_rational_trig_k4,24,50021,0.35,0.14
balanced_022_friedman2_safe_k4,friedman2_safe_k4,24,50022,0.35,0.14
balanced_023_srsd_energy_like_k4,srsd_energy_like_k4,24,50023,0.35,0.14
balanced_024_livermore_rational_interaction_k4,livermore_rational_interaction_k4,24,50024,0.35,0.14
balanced_025_feynman_trig_interaction_k2,feynman_trig_interaction_k2,20,50025,0.45,0.18
balanced_026_nguyen_rational_k2,nguyen_rational_k2,20,50026,0.45,0.18
balanced_027_livermore_exp_trig_k2,livermore_exp_trig_k2,20,50027,0.45,0.18
balanced_028_srsd_log_sqrt_k2,srsd_log_sqrt_k2,20,50028,0.45,0.18
balanced_029_feynman_sparse_interaction_k3,feynman_sparse_interaction_k3,24,50029,0.45,0.18
balanced_030_friedman_core_k3,friedman_core_k3,24,50030,0.45,0.18
balanced_031_srsd_exp_log_k3,srsd_exp_log_k3,24,50031,0.45,0.18
balanced_032_nguyen_trig_poly_k3,nguyen_trig_poly_k3,24,50032,0.45,0.18
balanced_033_feynman_rational_trig_k4,feynman_rational_trig_k4,28,50033,0.45,0.18
balanced_034_friedman2_safe_k4,friedman2_safe_k4,28,50034,0.45,0.18
balanced_035_srsd_energy_like_k4,srsd_energy_like_k4,28,50035,0.45,0.18
balanced_036_livermore_rational_interaction_k4,livermore_rational_interaction_k4,28,50036,0.45,0.18
balanced_037_feynman_trig_interaction_k2,feynman_trig_interaction_k2,12,50037,0.55,0.1
balanced_038_nguyen_rational_k2,nguyen_rational_k2,12,50038,0.55,0.1
balanced_039_livermore_exp_trig_k2,livermore_exp_trig_k2,12,50039,0.55,0.1
balanced_040_srsd_log_sqrt_k2,srsd_log_sqrt_k2,12,50040,0.55,0.1
balanced_041_feynman_sparse_interaction_k3,feynman_sparse_interaction_k3,16,50041,0.55,0.1
balanced_042_friedman_core_k3,friedman_core_k3,16,50042,0.55,0.1
balanced_043_srsd_exp_log_k3,srsd_exp_log_k3,16,50043,0.55,0.1
balanced_044_nguyen_trig_poly_k3,nguyen_trig_poly_k3,16,50044,0.55,0.1
balanced_045_feynman_rational_trig_k4,feynman_rational_trig_k4,20,50045,0.55,0.1
balanced_046_friedman2_safe_k4,friedman2_safe_k4,20,50046,0.55,0.1
balanced_047_srsd_energy_like_k4,srsd_energy_like_k4,20,50047,0.55,0.1
balanced_048_livermore_rational_interaction_k4,livermore_rational_interaction_k4,20,50048,0.55,0.1
balanced_049_feynman_trig_interaction_k2,feynman_trig_interaction_k2,16,50049,0.25,0.14
balanced_050_nguyen_rational_k2,nguyen_rational_k2,16,50050,0.25,0.14
balanced_051_livermore_exp_trig_k2,livermore_exp_trig_k2,16,50051,0.25,0.14
balanced_052_srsd_log_sqrt_k2,srsd_log_sqrt_k2,16,50052,0.25,0.14
balanced_053_feynman_sparse_interaction_k3,feynman_sparse_interaction_k3,20,50053,0.25,0.14
balanced_054_friedman_core_k3,friedman_core_k3,20,50054,0.25,0.14
balanced_055_srsd_exp_log_k3,srsd_exp_log_k3,20,50055,0.25,0.14
balanced_056_nguyen_trig_poly_k3,nguyen_trig_poly_k3,20,50056,0.25,0.14
balanced_057_feynman_rational_trig_k4,feynman_rational_trig_k4,24,50057,0.25,0.14
balanced_058_friedman2_safe_k4,friedman2_safe_k4,24,50058,0.25,0.14
balanced_059_srsd_energy_like_k4,srsd_energy_like_k4,24,50059,0.25,0.14
balanced_060_livermore_rational_interaction_k4,livermore_rational_interaction_k4,24,50060,0.25,0.14
balanced_061_feynman_trig_interaction_k2,feynman_trig_interaction_k2,20,50061,0.35,0.18
balanced_062_nguyen_rational_k2,nguyen_rational_k2,20,50062,0.35,0.18
balanced_063_livermore_exp_trig_k2,livermore_exp_trig_k2,20,50063,0.35,0.18
balanced_064_srsd_log_sqrt_k2,srsd_log_sqrt_k2,20,50064,0.35,0.18
balanced_065_feynman_sparse_interaction_k3,feynman_sparse_interaction_k3,24,50065,0.35,0.18
balanced_066_friedman_core_k3,friedman_core_k3,24,50066,0.35,0.18
balanced_067_srsd_exp_log_k3,srsd_exp_log_k3,24,50067,0.35,0.18
balanced_068_nguyen_trig_poly_k3,nguyen_trig_poly_k3,24,50068,0.35,0.18
balanced_069_feynman_rational_trig_k4,feynman_rational_trig_k4,28,50069,0.35,0.18
balanced_070_friedman2_safe_k4,friedman2_safe_k4,28,50070,0.35,0.18
balanced_071_srsd_energy_like_k4,srsd_energy_like_k4,28,50071,0.35,0.18
balanced_072_livermore_rational_interaction_k4,livermore_rational_interaction_k4,28,50072,0.35,0.18
balanced_073_feynman_trig_interaction_k2,feynman_trig_interaction_k2,12,50073,0.45,0.1
balanced_074_nguyen_rational_k2,nguyen_rational_k2,12,50074,0.45,0.1
balanced_075_livermore_exp_trig_k2,livermore_exp_trig_k2,12,50075,0.45,0.1
balanced_076_srsd_log_sqrt_k2,srsd_log_sqrt_k2,12,50076,0.45,0.1
balanced_077_feynman_sparse_interaction_k3,feynman_sparse_interaction_k3,16,50077,0.45,0.1
balanced_078_friedman_core_k3,friedman_core_k3,16,50078,0.45,0.1
balanced_079_srsd_exp_log_k3,srsd_exp_log_k3,16,50079,0.45,0.1
balanced_080_nguyen_trig_poly_k3,nguyen_trig_poly_k3,16,50080,0.45,0.1
balanced_081_feynman_rational_trig_k4,feynman_rational_trig_k4,20,50081,0.45,0.1
balanced_082_friedman2_safe_k4,friedman2_safe_k4,20,50082,0.45,0.1
balanced_083_srsd_energy_like_k4,srsd_energy_like_k4,20,50083,0.45,0.1
balanced_084_livermore_rational_interaction_k4,livermore_rational_interaction_k4,20,50084,0.45,0.1
balanced_085_feynman_trig_interaction_k2,feynman_trig_interaction_k2,16,50085,0.55,0.14
balanced_086_nguyen_rational_k2,nguyen_rational_k2,16,50086,0.55,0.14
balanced_087_livermore_exp_trig_k2,livermore_exp_trig_k2,16,50087,0.55,0.14
balanced_088_srsd_log_sqrt_k2,srsd_log_sqrt_k2,16,50088,0.55,0.14
