global_case_index,suite,suite_case_index,case_id,case_name,benchmark,source_name,base_formula_id,target_component,failure_mode,structure_type,feature_names,true_variables,true_variable_positions,true_expression,fn_name,noise_level,dimension,true_variable_count,interference_type,proxy_variables,proxy_variable_positions,nonlinear_decoy_variables,nonlinear_decoy_positions,n_train,n_val,n_test,seed,proxy_strength,decoy_noise,split_dir,train_path,val_path,test_path,train_clean_path,val_clean_path
1,component_ablation,1,balanced_001_feynman_trig_interaction_k2,balanced_001_feynman_trig_interaction_k2,Feynman,Feynman-style trigonometric interaction,feynman_trig_interaction_k2,balanced,moderate_unified_component_ablation,trig_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12,x4|x12,4|12,1.25*x4 + sin(x12) + 0.35*x4*x12,feynman_trig_interaction_k2,0.0,12,2,moderate_mixed_distractors,x1|x2,1|2,x3|x5,3|5,128,128,1024,50001,0.25,0.1,suites/component_ablation/balanced_001_feynman_trig_interaction_k2,suites/component_ablation/balanced_001_feynman_trig_interaction_k2/train.csv,suites/component_ablation/balanced_001_feynman_trig_interaction_k2/val.csv,suites/component_ablation/balanced_001_feynman_trig_interaction_k2/test.csv,,
2,component_ablation,2,balanced_002_nguyen_rational_k2,balanced_002_nguyen_rational_k2,Nguyen,Nguyen-style rational,nguyen_rational_k2,balanced,moderate_unified_component_ablation,rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12,x6|x11,6|11,x6/(1 + x11**2) + 0.5*x11,nguyen_rational_k2,0.0,12,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50002,0.25,0.1,suites/component_ablation/balanced_002_nguyen_rational_k2,suites/component_ablation/balanced_002_nguyen_rational_k2/train.csv,suites/component_ablation/balanced_002_nguyen_rational_k2/val.csv,suites/component_ablation/balanced_002_nguyen_rational_k2/test.csv,,
3,component_ablation,3,balanced_003_livermore_exp_trig_k2,balanced_003_livermore_exp_trig_k2,Livermore,Livermore-style exp-trig mix,livermore_exp_trig_k2,balanced,moderate_unified_component_ablation,exp_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12,x1|x2,1|2,exp(0.3*x1) - cos(x2),livermore_exp_trig_k2,0.0,12,2,moderate_mixed_distractors,x3|x4,3|4,x5|x6,5|6,128,128,1024,50003,0.25,0.1,suites/component_ablation/balanced_003_livermore_exp_trig_k2,suites/component_ablation/balanced_003_livermore_exp_trig_k2/train.csv,suites/component_ablation/balanced_003_livermore_exp_trig_k2/val.csv,suites/component_ablation/balanced_003_livermore_exp_trig_k2/test.csv,,
4,component_ablation,4,balanced_004_srsd_log_sqrt_k2,balanced_004_srsd_log_sqrt_k2,SRSD,SRSD-style log-sqrt relation,srsd_log_sqrt_k2,balanced,moderate_unified_component_ablation,log_sqrt,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12,x3|x10,3|10,log(1 + x3**2) + sqrt(1 + x10**2),srsd_log_sqrt_k2,0.0,12,2,moderate_mixed_distractors,x1|x2,1|2,x4|x5,4|5,128,128,1024,50004,0.25,0.1,suites/component_ablation/balanced_004_srsd_log_sqrt_k2,suites/component_ablation/balanced_004_srsd_log_sqrt_k2/train.csv,suites/component_ablation/balanced_004_srsd_log_sqrt_k2/val.csv,suites/component_ablation/balanced_004_srsd_log_sqrt_k2/test.csv,,
5,component_ablation,5,balanced_005_feynman_sparse_interaction_k3,balanced_005_feynman_sparse_interaction_k3,Feynman,Feynman-style sparse interaction,feynman_sparse_interaction_k3,balanced,moderate_unified_component_ablation,sparse_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x1|x3|x7,1|3|7,sin(x1) + x3*x7 + 0.25*x7**2,feynman_sparse_interaction_k3,0.0,16,3,moderate_mixed_distractors,x2|x4,2|4,x5|x6|x8,5|6|8,128,128,1024,50005,0.25,0.1,suites/component_ablation/balanced_005_feynman_sparse_interaction_k3,suites/component_ablation/balanced_005_feynman_sparse_interaction_k3/train.csv,suites/component_ablation/balanced_005_feynman_sparse_interaction_k3/val.csv,suites/component_ablation/balanced_005_feynman_sparse_interaction_k3/test.csv,,
6,component_ablation,6,balanced_006_friedman_core_k3,balanced_006_friedman_core_k3,Friedman/PMLB-FRI,Friedman-1 core,friedman_core_k3,balanced,moderate_unified_component_ablation,friedman_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x5|x12|x15,5|12|15,10*sin(pi*x5*x12) + 20*(x15 - 0.5)**2,friedman_core_k3,0.0,16,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x6,3|4|6,128,128,1024,50006,0.25,0.1,suites/component_ablation/balanced_006_friedman_core_k3,suites/component_ablation/balanced_006_friedman_core_k3/train.csv,suites/component_ablation/balanced_006_friedman_core_k3/val.csv,suites/component_ablation/balanced_006_friedman_core_k3/test.csv,,
7,component_ablation,7,balanced_007_srsd_exp_log_k3,balanced_007_srsd_exp_log_k3,SRSD,SRSD-style exp-log mix,srsd_exp_log_k3,balanced,moderate_unified_component_ablation,exp_log,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x2|x8|x15,2|8|15,exp(0.2*x2) + log(1 + x8**2) + x15,srsd_exp_log_k3,0.0,16,3,moderate_mixed_distractors,x1|x3,1|3,x4|x5|x6,4|5|6,128,128,1024,50007,0.25,0.1,suites/component_ablation/balanced_007_srsd_exp_log_k3,suites/component_ablation/balanced_007_srsd_exp_log_k3/train.csv,suites/component_ablation/balanced_007_srsd_exp_log_k3/val.csv,suites/component_ablation/balanced_007_srsd_exp_log_k3/test.csv,,
8,component_ablation,8,balanced_008_nguyen_trig_poly_k3,balanced_008_nguyen_trig_poly_k3,Nguyen,Nguyen-style trig-polynomial mix,nguyen_trig_poly_k3,balanced,moderate_unified_component_ablation,trig_polynomial,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x5|x6|x10,5|6|10,x5**2 + x6*sin(x10) + 0.5*x5*x6,nguyen_trig_poly_k3,0.0,16,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x7,3|4|7,128,128,1024,50008,0.25,0.1,suites/component_ablation/balanced_008_nguyen_trig_poly_k3,suites/component_ablation/balanced_008_nguyen_trig_poly_k3/train.csv,suites/component_ablation/balanced_008_nguyen_trig_poly_k3/val.csv,suites/component_ablation/balanced_008_nguyen_trig_poly_k3/test.csv,,
9,component_ablation,9,balanced_009_feynman_rational_trig_k4,balanced_009_feynman_rational_trig_k4,Feynman,Feynman-style rational-trig mix,feynman_rational_trig_k4,balanced,moderate_unified_component_ablation,rational_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x1|x6|x9|x10,1|6|9|10,(x1 + 0.5*x6**2)/(1 + x9**2) + 0.4*cos(x10),feynman_rational_trig_k4,0.0,20,4,moderate_mixed_distractors,x2|x3|x4,2|3|4,x5|x7|x8,5|7|8,128,128,1024,50009,0.25,0.1,suites/component_ablation/balanced_009_feynman_rational_trig_k4,suites/component_ablation/balanced_009_feynman_rational_trig_k4/train.csv,suites/component_ablation/balanced_009_feynman_rational_trig_k4/val.csv,suites/component_ablation/balanced_009_feynman_rational_trig_k4/test.csv,,
10,component_ablation,10,balanced_010_friedman2_safe_k4,balanced_010_friedman2_safe_k4,Friedman/PMLB-FRI,Friedman-2 safe-range motif,friedman2_safe_k4,balanced,moderate_unified_component_ablation,sqrt_rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x6|x8|x17|x18,6|8|17|18,sqrt(x6**2 + (x8*x17 - 1/(x8*x18))**2),friedman2_safe_k4,0.0,20,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x7,4|5|7,128,128,1024,50010,0.25,0.1,suites/component_ablation/balanced_010_friedman2_safe_k4,suites/component_ablation/balanced_010_friedman2_safe_k4/train.csv,suites/component_ablation/balanced_010_friedman2_safe_k4/val.csv,suites/component_ablation/balanced_010_friedman2_safe_k4/test.csv,,
